"EFF_DATE","ARRIVAL_NAME","AMENDMENT_NO","ARTCC","STAR_AMEND_EFF_DATE","RNAV_FLAG","STAR_COMPUTER_CODE","SERVED_ARPT"
"2025/11/27","DYAMD","FIVE","ZOA","2019/01/03","Y","DYAMD.DYAMD5","SFO"
"2025/11/27","SHLAE","ONE","ZHN","2020/01/30","Y","DYLLI.SHLAE1","HNL"
"2025/11/27","EAGUL","SIX","ZAB","2014/09/18","Y","EAGUL.EAGUL6","PHX"
"2025/11/27","EATZZ","ONE","ZLC","2024/07/11","Y","EATZZ.EATZZ1","BZN"
"2025/11/27","EAU CLAIRE","NINE","ZMP","2013/01/10","N","EAU.EAU9","MSP"
"2025/11/27","VAAIL","ONE","ZDV","2025/04/17","Y","ELDRA.VAAIL1","EGE"
"2025/11/27","ELLAM","FIVE","ZAN","2015/10/15","N","ELLAM.ELLAM5","ANC"
"2025/11/27","ELLENSBURG","FOUR","ZSE","2022/01/27","Y","ELN.ELN4","TCM"
"2025/11/27","EMMAS","ONE","ZAU","2024/01/25","Y","EMMAS.EMMAS1","RFD"
"2025/11/27","EMZOH","FOUR","ZOA","2025/06/12","Y","EMZOH.EMZOH4","HWD OAK"
"2025/11/27","ENCEE","THREE","ZMP","2023/08/10","Y","ENCEE.ENCEE3","ANE FCM LVN MIC STP"
"2025/11/27","ENDEE","EIGHT","ZAU","2025/08/07","Y","ENDEE.ENDEE8","MDW"
"2025/11/27","CENTRALIA","TWO","ZKC","2013/08/22","Y","ENL.ENL2","BLV"
"2025/11/27","ARLFT","TWO","ZDC ZNY","2021/08/12","Y","ENO.ARLFT2","33N DOV ILG"
"2025/11/27","PROUD","TWO","ZNY","2024/01/25","Y","ENO.PROUD2","LGA"
"2025/11/27","ERNNY","EIGHT","ZAU","2023/04/20","Y","ERNNY.ERNNY8","ORD"
"2025/11/27","ESSPO","FIVE","ZAU","2020/11/05","Y","ESSPO.ESSPO5","ORD"
"2025/11/27","PAATS","FOUR","ZNY","2023/04/20","Y","ESSSO.PAATS4","MQS PHL PNE TTN"
"2025/11/27","DMSTR","TWO","ZDC","2024/03/21","Y","ETBUY.DMSTR2","RDU"
"2025/11/27","OOSHN","FIVE","ZBW","2017/10/12","Y","EURRO.OOSHN5","BOS"
"2025/11/27","FALCO","FIVE","ZAN","2012/05/31","N","FALCO.FALCO5","EIL"
"2025/11/27","FARMR","THREE","ZKC","2017/03/02","Y","FARMR.FARMR3","ALN BLV CPS"
"2025/11/27","FASTO","TWO","ZLA","2017/01/05","N","FASTO.FASTO2","BFL"
"2025/11/27","FERNANDO","SEVEN","ZLA","2016/11/10","N","FIM.FERN7","BUR SMO VNY"
"2025/11/27","MOORPARK","FOUR","ZLA","2016/09/15","N","FIM.MOOR4","LAX"
"2025/11/27","CRIKT","ONE","ZFW","2016/03/31","Y","FINGR.CRIKT1","DAL"
"2025/11/27","FINGR","ONE","ZFW","2025/11/27","N","FINGR.FINGR1","ADS DAL DFW F41 F46 HQZ JWY LNC RBD TKI"
"2025/11/27","HIBIL","THREE","ZFW","2016/03/31","Y","FINGR.HIBIL3","DAL"
"2025/11/27","SLANT","THREE","ZFW","2016/03/31","Y","FINGR.SLANT3","ADS F41 F46 HQZ JWY LNC RBD TKI"
"2025/11/27","FISSK","SEVEN","ZAU","2025/06/12","Y","FISSK.FISSK7","MDW"
"2025/11/27","FLATI","FIVE","ZDV","2025/06/12","Y","FLATI.FLATI5","DEN"
"2025/11/27","FLCHR","ONE","ZLA","2021/02/25","Y","FLCHR.FLCHR1","VGT"
"2025/11/27","STOCR","FOUR","ZTL","2024/05/16","Y","FLLGG.STOCR4","CLT"
"2025/11/27","FLOSI","FOUR","ZNY","2019/12/05","Y","FLOSI.FLOSI4","EWR"
"2025/11/27","FNLEE","ONE","ZAU","2024/01/25","Y","FNLEE.FNLEE1","RFD"
"2025/11/27","FNTSY","ONE","ZMA","2024/10/31","Y","FNTSY.FNTSY1","EYW NQX"
"2025/11/27","FOREY","TWO","ZOB","2019/10/10","Y","FOREY.FOREY2","ARB CYQG DET FNT MTC ONZ OZW PTK TTF VLL YIP"
"2025/11/27","FORTL","NINE","ZMA","2021/12/02","N","FORTL.FORTL9","FLL FXE HWO OPF PMP"
"2025/11/27","FOWEE","TWO","ZMA","2021/12/02","N","FOWEE.FOWEE2","07FA HST MIA TMB X51"
"2025/11/27","WILLIAMSPORT","THREE","ZNY","2012/05/31","N","FQM.FQM3","EWR"
